"","time","P1eu"
"1",2017-12-02 18:00:00,33.77
"2",2017-12-02 19:00:00,25.03
"3",2017-12-02 20:00:00,25.13
"4",2017-12-02 21:00:00,37.95
"5",2017-12-02 22:00:00,100.3
"6",2017-12-02 23:00:00,54.92
"7",2017-12-03 00:00:00,48.77
"8",2017-12-03 01:00:00,22.61
"9",2017-12-03 02:00:00,33.04
"10",2017-12-03 03:00:00,25.93
"11",2017-12-03 04:00:00,34.22
"12",2017-12-03 05:00:00,40.64
"13",2017-12-03 06:00:00,42.72
"14",2017-12-03 07:00:00,57.95
"15",2017-12-03 08:00:00,55.74
"16",2017-12-03 09:00:00,34.46
"17",2017-12-03 10:00:00,10.79
"18",2017-12-03 11:00:00,12.09
"19",2017-12-03 12:00:00,10.38
"20",2017-12-03 13:00:00,8.9
"21",2017-12-03 14:00:00,9.17
"22",2017-12-03 15:00:00,12.11
"23",2017-12-03 16:00:00,17.06
"24",2017-12-03 17:00:00,28.82
"25",2017-12-03 18:00:00,63.36
"26",2017-12-03 19:00:00,80.74
"27",2017-12-03 20:00:00,100.08
"28",2017-12-03 21:00:00,251.29
"29",2017-12-03 22:00:00,53.39
"30",2017-12-03 23:00:00,29.4
"31",2017-12-04 00:00:00,29.47
"32",2017-12-04 01:00:00,22.22
"33",2017-12-04 02:00:00,18.08
"34",2017-12-04 03:00:00,12.82
"35",2017-12-04 04:00:00,10.33
"36",2017-12-04 05:00:00,12.69
"37",2017-12-04 06:00:00,13.92
"38",2017-12-04 07:00:00,20.92
"39",2017-12-04 08:00:00,21.86
"40",2017-12-04 09:00:00,25.32
"41",2017-12-04 10:00:00,19.94
"42",2017-12-04 11:00:00,19.6
"43",2017-12-04 12:00:00,20.61
"44",2017-12-04 13:00:00,18.4
"45",2017-12-04 14:00:00,21.72
"46",2017-12-04 15:00:00,21.38
"47",2017-12-04 16:00:00,20.99
"48",2017-12-04 17:00:00,26.36
"49",2017-12-04 18:00:00,26.41
"50",2017-12-04 19:00:00,24.03
"51",2017-12-04 20:00:00,23.47
"52",2017-12-04 21:00:00,17.61
"53",2017-12-04 22:00:00,22.84
"54",2017-12-04 23:00:00,24.08
"55",2017-12-05 00:00:00,19.42
"56",2017-12-05 01:00:00,9.1
"57",2017-12-05 02:00:00,7.2
"58",2017-12-05 03:00:00,19.22
"59",2017-12-05 04:00:00,12.05
"60",2017-12-05 05:00:00,13.48
"61",2017-12-05 06:00:00,9.38
"62",2017-12-05 07:00:00,6.81
"63",2017-12-05 08:00:00,10.7
"64",2017-12-05 09:00:00,9.21
"65",2017-12-05 10:00:00,9.43
"66",2017-12-05 11:00:00,8.97
"67",2017-12-05 12:00:00,12.1
"68",2017-12-05 13:00:00,14.31
"69",2017-12-05 14:00:00,15.51
"70",2017-12-05 15:00:00,15.94
"71",2017-12-05 16:00:00,20.96
"72",2017-12-05 17:00:00,18.65
"73",2017-12-05 18:00:00,16.46
"74",2017-12-05 19:00:00,15.27
"75",2017-12-05 20:00:00,20.07
"76",2017-12-05 21:00:00,18.92
"77",2017-12-05 22:00:00,19.27
"78",2017-12-05 23:00:00,15.68
"79",2017-12-06 00:00:00,14.95
"80",2017-12-06 01:00:00,14.99
"81",2017-12-06 02:00:00,11.77
"82",2017-12-06 03:00:00,15.02
"83",2017-12-06 04:00:00,13.68
"84",2017-12-06 05:00:00,12.36
"85",2017-12-06 06:00:00,11.84
"86",2017-12-06 07:00:00,8.94
"87",2017-12-06 08:00:00,9.87
"88",2017-12-06 09:00:00,11.13
"89",2017-12-06 10:00:00,8.93
"90",2017-12-06 11:00:00,12.41
"91",2017-12-06 12:00:00,13.83
"92",2017-12-06 13:00:00,14.84
"93",2017-12-06 14:00:00,13.47
"94",2017-12-06 15:00:00,12.44
"95",2017-12-06 16:00:00,14.37
"96",2017-12-06 17:00:00,15.65
"97",2017-12-06 18:00:00,15.93
"98",2017-12-06 19:00:00,57.41
"99",2017-12-06 20:00:00,43.62
"100",2017-12-06 21:00:00,25.95
"101",2017-12-06 22:00:00,20.04
"102",2017-12-06 23:00:00,NA
"103",2017-12-07 00:00:00,23.77
"104",2017-12-07 01:00:00,18.79
"105",2017-12-07 02:00:00,4.14
"106",2017-12-07 03:00:00,3.69
"107",2017-12-07 04:00:00,3.89
"108",2017-12-07 05:00:00,4.15
"109",2017-12-07 06:00:00,4.53
"110",2017-12-07 07:00:00,6.15
"111",2017-12-07 08:00:00,9.71
"112",2017-12-07 09:00:00,14.47
"113",2017-12-07 10:00:00,11.82
"114",2017-12-07 11:00:00,14.79
"115",2017-12-07 12:00:00,14.15
"116",2017-12-07 13:00:00,13.49
"117",2017-12-07 14:00:00,18.62
"118",2017-12-07 15:00:00,16.27
"119",2017-12-07 16:00:00,13.72
"120",2017-12-07 17:00:00,27.96
"121",2017-12-07 18:00:00,41.53
"122",2017-12-07 19:00:00,55.56
"123",2017-12-07 20:00:00,110.94
"124",2017-12-07 21:00:00,127.86
"125",2017-12-07 22:00:00,141.69
"126",2017-12-07 23:00:00,152.61
"127",2017-12-08 00:00:00,140.06
"128",2017-12-08 01:00:00,158.07
"129",2017-12-08 02:00:00,150
"130",2017-12-08 03:00:00,148.62
"131",2017-12-08 04:00:00,99.63
"132",2017-12-08 05:00:00,72.44
"133",2017-12-08 06:00:00,82.73
"134",2017-12-08 07:00:00,97.84
"135",2017-12-08 08:00:00,97.36
"136",2017-12-08 09:00:00,118.11
"137",2017-12-08 10:00:00,167.31
"138",2017-12-08 11:00:00,163.35
"139",2017-12-08 12:00:00,99.1
"140",2017-12-08 13:00:00,68.1
"141",2017-12-08 14:00:00,58.06
"142",2017-12-08 15:00:00,50.53
"143",2017-12-08 16:00:00,51.13
"144",2017-12-08 17:00:00,64.29
"145",2017-12-08 18:00:00,89.66
"146",2017-12-08 19:00:00,100.48
"147",2017-12-08 20:00:00,116.16
"148",2017-12-08 21:00:00,160.88
"149",2017-12-08 22:00:00,180.23
"150",2017-12-08 23:00:00,181.74
"151",2017-12-09 00:00:00,191.36
"152",2017-12-09 01:00:00,198.02
"153",2017-12-09 02:00:00,162.51
"154",2017-12-09 03:00:00,137.66
"155",2017-12-09 04:00:00,129.21
"156",2017-12-09 05:00:00,158.8
"157",2017-12-09 06:00:00,169.21
"158",2017-12-09 07:00:00,155.87
"159",2017-12-09 08:00:00,93.13
"160",2017-12-09 09:00:00,79.71
"161",2017-12-09 10:00:00,62.02
"162",2017-12-09 11:00:00,52.9
